,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
5003,DALER ROWNEY , LANGTON , 16X20IN , WATERCOLOR PAPER PAD ,41.81,28.12,,PLS20N,In Stock Online, 16X20IN  WATERCOLOR PAPER PAD  300GSM 
5004,DALER ROWNEY , LANGTON , 5X7IN , WATERCOLOR PAPER PAD ,10.78,7.28,,PLS7N,In Stock Online, 5X7IN  WATERCOLOR PAPER PAD  300GSM 
5005,R.K. BURT , GLASSINE PAPER , 50X75CM , CLEAR FOR INTERLEAVING ,28.04,25.36,,PG100,In Stock Online, 50X75CM  CLEAR FOR INTERLEAVING  100 SHEETS
5006,R.K. BURT , GLASSINE PAPER , 50X75CM , CLEAR FOR INTERLEAVING ,14.11,,,PG50,In Stock Online, 50X75CM  CLEAR FOR INTERLEAVING  50 SHEETS
5007,STONEHENGE , FINE ART PAPER PAD , 18X24IN , 15 SHEETS ,79.32,62.85,,PGSP1824,In Stock Online, 18X24IN  15 SHEETS  WHITE 
5008,STONEHENGE , FINE ART PAPER , ROLL 50INX10YDS , 250GSM ,310.94,199.57,,PGSROLL,In Stock Online, ROLL 50INX10YDS  250GSM  WHITE
5009,STONEHENGE , FINE ART PAPER PAD , 11X14IN , 15 SHEETS ,40.95,31.42,,PGSP1114,In Stock Online, 11X14IN  15 SHEETS  WHITE 
5010,STONEHENGE , FINE ART PAPER PAD , 9X12IN , 15 SHEETS ,30.37,23.15,,PGSP0912,In Stock Online, 9X12IN  15 SHEETS  WHITE 
5011,FABRIANO , ARTISTICO , 300GSM , 22X30IN ,28.79,20.51,,PFA140N5,In Stock Online, 300GSM  22X30IN  5 SHEETS 
5012,FABRIANO , ARTISTICO , 300GSM , 22X30IN ,5.76,4.3,,PFA140N,In Stock Online, 300GSM  22X30IN  1 SHEET 
5013,FABRIANO , ARTISTICO , 640GSM , 22X30IN ,63.63,45.21,,PFA300HP5,In Stock Online, 640GSM  22X30IN  5 SHEETS 
5014,FABRIANO , ARTISTICO , 300GSM , 22X30IN ,115.14,74.98,100.0,PFA140N20,In Stock Online, 300GSM  22X30IN  20 SHEETS 
5015,FABRIANO , ARTISTICO , 640GSM , 22X30IN ,127.26,88.21,,PFA300HP10,In Stock Online, 640GSM  22X30IN  10 SHEETS 
5016,FABRIANO , ARTISTICO , 640GSM , 22X30IN ,254.52,163.19,100.0,PFA300HP20,In Stock Online, 640GSM  22X30IN  20 SHEETS 
5017,FABRIANO , ARTISTICO , 300LB , 640GSM ,12.73,9.48,,PFA300HP,In Stock Online, 300LB  640GSM  22X30IN 
5018,STONEHENGE , FINE ART PAPER PAD , 5X7IN , 15 SHEETS ,15.81,11.8,60.0,PGSP0507,In Stock Online, 5X7IN  15 SHEETS  WHITE 
5019,STONEHENGE , FINE ART PAPER PAD , 8X8IN , 15 SHEETS ,22.43,16.65,,PGSP0808,In Stock Online, 8X8IN  15 SHEETS  WHITE 
5020,R.K. BURT , GLASSINE PAPER , 50X75CM , CLEAR FOR INTERLEAVING ,140.2,123.49,,PG500,In Stock Online, 50X75CM  CLEAR FOR INTERLEAVING  500 SHEETS
5021,STONEHENGE , FINE ART PAPER , 56X76CM , 250GSM ,6.28,4.85,,PGS04,In Stock Online, 56X76CM  250GSM  PEARL GREY 
5022,STONEHENGE , FINE ART PAPER , 56X76CM , 250GSM ,6.28,4.85,,PGS05,In Stock Online, 56X76CM  250GSM  NATURAL 
5023,KHADI , HANDMADE BOUND SKETCHBOOK 210GSM , SMOOTH ,13X16CM ,11.68,8.82,,PKBB5WS,Awaiting Stock - Due: 02-04-2020, SMOOTH 13X16CM  20 SHEETS
5024,KHADI , HANDMADE BOUND SKETCHBOOK 210GSM , ROUGH ,13X16CM ,11.68,8.82,,PKBB5WR,Awaiting Stock - Due: 02-04-2020, ROUGH 13X16CM  20 SHEETS
5025,KHADI , DOUBLE ELEPHANT PAPER , 320GSM , ROUGH ,188.15,131.21,,PKR12W/20,Awaiting Stock - Due: 04-04-2020, 320GSM  ROUGH  70X100CM 
5026,KHADI , DOUBLE ELEPHANT PAPER , 320GSM , ROUGH ,96.06,70.57,,PKR12W/10,Low Stock, 320GSM  ROUGH  70X100CM 
5027,KHADI , DOUBLE ELEPHANT PAPER , 640GSM , ROUGH ,146.87,106.95,100.0,PKR14W/10,Low Stock, 640GSM  ROUGH  70X100CM 
